脆脆哼哼	脆脆猜猜	脆脆小學堂	脆脆看電影
EP41	水色時代OP	EP145	七十二小時，射一字：晶（三日）	EP167	小四自然：螃蟹為何口吐白沫？調節鹽分、腮中水分、氧化	EP206	「不要披風」：超人特攻隊
EP78	施公奇案ED承諾			EP203	小五社會：夫妻收入三萬及兩萬六，婚後應該？買房、買車、不生子、節約		
EP79	小紅豆			EP204	孫子算經：雞兔同籠，頭35、腳94，共23雞12兔		
EP80	草蜢《失戀陣線聯盟》			EP205	徵求座右銘		
EP81	《金枝玉葉》張國榮唱的《追》						
EP82	叮噹貓						
EP83	張清芳優客李林《出嫁》						
EP84	麻辣鮮師主題曲、Makiyo川島茉樹代《初戀》						
EP85	鬼神童子						
EP86	港版神鵰俠侶主題曲陳淑樺《問》						
EP87	愛你一萬年／讓一切隨風						
EP88	鄧麗君《我只在乎你》						
EP89	繁華攏是夢						
EP90	《光陰的故事》						
EP91	張智成《末日之戀》						
EP92	《開心鬼放暑假》插曲，香港歌神譚詠麟《夏日寒風》						
EP93	仔仔《戰神》插曲《白色戀曲》						
EP94	曼哈頓情緣《That's How You Know》						
EP95	張清芳《無人熟識》						
EP96	哈姆太郎ED						
EP97	阿達一族主題曲						
EP98	還珠格格ED李翊君《雨蝶》（跟《沙漠寂寞》一曲兩詞）						
EP99	《超級學校霸王》張學友《總有一天等到你》						
EP100	小雨						
EP101	是《愛要坦蕩蕩》的歌手蕭蕭《握不住的他》						
EP102	陳慧琳鄭中基《製造浪漫》						
EP103	流星花園ED戴佩妮《你要的愛》						
EP104	動畫《化物語》OP花澤香菜《戀愛循環》						
EP105	張洪量《妳知道我在等妳嗎》						
EP106	古惑仔系列主題曲鄭伊健《友情歲月》						
EP107	櫻桃幫《再見我的愛》						
EP108	娃娃《飄洋過海來看你》						
EP109	黃乙玲+郭桂彬《海波浪》						
EP110	《情花開》						
EP111	Sunday girls的喜歡你						
EP112	食神插曲						
EP113	吳忠憲《小姐這是我的名片》						
EP114	《莫斯科沒有眼淚》						
EP115	睡美人主題曲，改編自柴可夫斯基						
EP116	陳小春《抱一抱》						
EP117	劉德華《來生緣》						
EP118	譚詠麟《愛情陷阱》						
EP119	《愛殺17》片頭曲張韶涵《口袋的天空》						
EP120	灌籃高手＋福音戰士						
EP121	沈文程《舊情也綿綿》						
EP122	白雪公主七個小矮人的工作歌						
EP123	1967年can't take my eyes off you						
EP124	湯姆貓與傑利鼠OP						
EP125	王菲《天使》						
EP126	一休和尚						
EP127	任賢齊神鵰俠侶主題曲《任逍遙》						
EP128	小虎隊《驪歌》						
EP129	櫻桃小丸子主題曲（第一代片頭）						
EP130	快樂天堂						
EP131	美少女戰士主題曲						
EP132	神隱少女《永遠同在》						
EP133	蘇永康的男人不該讓女人流淚						
EP134	陳小雲《愛情的騙子我問你》						
EP135	黃乙玲《講什麼山盟海誓》						
EP136	Nothing's Gonna Change My Love for You						
EP137	《你的名字》主題曲《火花》						
EP138	超級瑪利歐兄弟水下關卡bgm						
EP139	周蕙《約定》						
EP140	金枝玉葉插曲姚莉《愛情的魔力》						
EP141	新哆啦A夢主題曲《實現夢想的哆啦A夢》						
EP142	蔡依林《說愛你》						
EP143	棋靈王OP《Get Over》						
EP144	許哲珮《氣球》						

